Strike,Moneyness,Bid,Mid,Ask,Latest,Change,%Change,Volume,"Open Int","OI Chg",IV,Delta,Type,"Last Trade"
6.00,+60.60%,8.40,9.35,10.30,10.45,unch,unch,0,1,unch,452.05%,0.9709,Call,04/06/26
7.00,+54.04%,7.40,8.35,9.30,0.00,unch,unch,0,0,unch,384.65%,0.9656,Call,N/A
8.00,+47.47%,6.40,7.35,8.30,0.00,unch,unch,0,0,unch,326.42%,0.9595,Call,N/A
9.00,+40.91%,5.40,6.15,6.90,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
10.00,+34.34%,4.00,4.85,5.70,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
11.00,+27.77%,3.50,4.10,4.70,0.00,unch,unch,0,0,unch,0.00%,0.0000,Call,N/A
12.00,+21.21%,2.70,3.40,4.10,4.65,unch,unch,0,1,unch,160.85%,0.8957,Call,03/12/26
13.00,+14.64%,1.55,2.13,2.70,3.77,unch,unch,0,24,unch,0.00%,0.0000,Call,03/27/26
14.00,+8.08%,0.75,1.30,1.85,2.49,unch,unch,0,437,unch,57.94%,0.8790,Call,03/24/26
15.00,+1.51%,0.40,0.63,0.85,0.54,+0.54,unch,18,896,unch,53.61%,0.6011,Call,04/10/26
16.00,-5.06%,0.10,0.30,0.50,0.15,-0.10,-40.00%,50,"1,136",+50,53.77%,0.2482,Call,04/10/26
17.00,-11.62%,0.10,0.13,0.15,0.28,unch,unch,0,738,unch,81.13%,0.1576,Call,04/07/26
18.00,-18.19%,0.00,0.08,0.15,0.11,unch,unch,0,201,-1,93.89%,0.0921,Call,04/09/26
19.00,-24.75%,0.00,0.25,0.50,0.10,unch,unch,0,276,unch,160.16%,0.1649,Call,04/07/26
20.00,-31.32%,0.00,0.25,0.50,0.05,unch,unch,0,50,unch,183.54%,0.1491,Call,04/02/26
21.00,-37.89%,0.00,0.25,0.50,0.00,unch,unch,0,0,unch,204.88%,0.1375,Call,N/A
22.00,-44.45%,0.00,0.18,0.35,0.07,unch,unch,1,10,unch,167.73%,0.0545,Call,04/10/26
6.00,-60.60%,0.00,0.25,0.50,0.05,unch,unch,0,8,unch,533.47%,-0.0442,Put,04/06/26
7.00,-54.04%,0.00,0.25,0.50,0.05,unch,unch,0,5,unch,455.86%,-0.0523,Put,02/23/26
8.00,-47.47%,0.00,0.08,0.15,0.24,unch,unch,0,1,unch,295.08%,-0.0293,Put,N/A
9.00,-40.91%,0.00,0.25,0.50,0.00,unch,unch,0,0,unch,329.97%,-0.0728,Put,N/A
10.00,-34.34%,0.00,0.25,0.50,0.02,unch,unch,6,0,unch,161.71%,-0.0165,Put,04/10/26
11.00,-27.77%,0.00,0.03,0.05,0.15,unch,unch,0,10,unch,134.10%,-0.0239,Put,03/20/26
12.00,-21.21%,0.00,0.03,0.05,0.05,unch,unch,0,37,unch,102.93%,-0.0305,Put,04/06/26
13.00,-14.64%,0.00,0.10,0.20,0.11,unch,unch,0,19,unch,101.80%,-0.1004,Put,03/30/26
14.00,-8.08%,0.05,0.15,0.25,0.15,+0.15,unch,10,30,unch,75.59%,-0.1792,Put,04/10/26
15.00,-1.51%,0.25,0.40,0.55,0.45,+0.45,unch,33,594,unch,72.23%,-0.4161,Put,04/10/26
16.00,+5.06%,0.75,1.25,1.75,1.10,+1.10,unch,1,659,unch,80.74%,-0.6640,Put,04/10/26
17.00,+11.62%,1.25,1.98,2.70,0.97,unch,unch,0,4,unch,97.02%,-0.7941,Put,03/31/26
18.00,+18.19%,2.30,3.00,3.70,2.55,unch,unch,0,2,+1,130.77%,-0.8191,Put,04/09/26
19.00,+24.75%,3.30,4.15,5.00,0.00,unch,unch,0,0,unch,185.49%,-0.7911,Put,N/A
20.00,+31.32%,4.30,5.15,6.00,0.00,unch,unch,0,0,unch,210.51%,-0.8089,Put,N/A
21.00,+37.89%,5.10,5.85,6.60,0.00,unch,unch,0,0,unch,156.62%,-0.9331,Put,N/A
22.00,+44.45%,6.10,6.85,7.60,0.00,unch,unch,0,0,unch,173.73%,-0.9382,Put,N/A
"Downloaded from Barchart.com as of 04-12-2026 08:52am CDT"
